epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,25015.6,1.84736,0.99513,1.16843,0.73008,0.63428,0.64963,0.25632,1.87441,0.92581,1.15176,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,25431.2,1.86033,0.9978,1.16934,0.71816,0.61105,0.62062,0.25067,1.8787,0.92941,1.15201,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,25848.6,1.83116,0.97778,1.15443,0.71027,0.62942,0.62965,0.25413,1.87709,0.92752,1.14918,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26262.4,1.82766,0.99288,1.16685,0.73485,0.64675,0.66333,0.26749,1.87074,0.92014,1.14745,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,26676,1.83151,0.96738,1.15616,0.73134,0.63567,0.64512,0.25868,1.87223,0.91634,1.14697,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27090.7,1.81373,0.97146,1.15954,0.71682,0.63164,0.62354,0.26604,1.86631,0.91684,1.14833,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,27504.3,1.82372,0.97198,1.15537,0.68721,0.65781,0.62758,0.25786,1.87187,0.91636,1.15198,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,27916.2,1.80333,0.94705,1.14792,0.69642,0.65322,0.63635,0.26532,1.87433,0.91268,1.15338,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28331.7,1.7909,0.94583,1.14143,0.69683,0.67133,0.63596,0.2626,1.86856,0.90512,1.1485,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,28742.9,1.77161,0.93539,1.1422,0.69265,0.66066,0.64001,0.26316,1.86405,0.90176,1.14615,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29158.9,1.79115,0.93562,1.15091,0.70569,0.64712,0.64092,0.26373,1.86728,0.8984,1.14769,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,29574.9,1.77755,0.93258,1.14162,0.7029,0.64383,0.66043,0.26671,1.86581,0.89505,1.14901,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,29990.8,1.77654,0.9304,1.13861,0.68641,0.65018,0.63677,0.26734,1.86539,0.89463,1.14972,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,30406.5,1.75702,0.91547,1.13391,0.69328,0.64948,0.64291,0.27166,1.86797,0.89197,1.15118,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,30821.6,1.75763,0.91261,1.13289,0.69378,0.66408,0.64698,0.26747,1.86796,0.89161,1.1513,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31237.5,1.75725,0.90679,1.1332,0.69647,0.6487,0.64019,0.26446,1.86999,0.89075,1.152,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,31651.2,1.74645,0.88454,1.12132,0.69604,0.64855,0.63663,0.26467,1.86743,0.88843,1.1527,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32064.8,1.74279,0.89297,1.11502,0.72452,0.65686,0.64696,0.2683,1.86714,0.88682,1.15173,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,32478,1.73331,0.88378,1.11281,0.74736,0.69094,0.67096,0.27711,1.86695,0.88346,1.15158,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,32894.6,1.72105,0.87599,1.119,0.72722,0.65973,0.66327,0.27375,1.86529,0.88268,1.15101,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33307.6,1.71282,0.88069,1.11222,0.73996,0.6897,0.68749,0.28112,1.86382,0.88165,1.15134,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,33721.3,1.70369,0.87339,1.10569,0.7368,0.69016,0.68799,0.28156,1.86169,0.88017,1.15158,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34139.3,1.70901,0.86202,1.11005,0.73425,0.67608,0.68538,0.27568,1.86309,0.87929,1.15185,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,34553.9,1.69688,0.85723,1.10475,0.74772,0.69383,0.69279,0.28154,1.86379,0.87574,1.15229,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,34969.8,1.68274,0.8574,1.09058,0.75661,0.70709,0.69341,0.28338,1.86352,0.87556,1.15205,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,35383.8,1.66809,0.84614,1.09598,0.75388,0.70771,0.69479,0.28376,1.86418,0.87398,1.15335,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,35799.5,1.68012,0.84284,1.09404,0.75028,0.69389,0.69557,0.28543,1.86384,0.87377,1.15373,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36215.6,1.66436,0.83297,1.0902,0.75753,0.67867,0.69579,0.28542,1.86314,0.87126,1.15363,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
