epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,47967.8,1.09225,0.65719,1.06698,0.89123,0.78669,0.83182,0.50856,1.15284,0.83943,1.08687,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,48672.5,1.07919,0.64564,1.06256,0.89199,0.78718,0.83218,0.50892,1.15271,0.83939,1.08681,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,49372.6,1.08085,0.64316,1.06118,0.89228,0.78794,0.8327,0.50866,1.15294,0.84058,1.08725,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,50072.2,1.06733,0.63545,1.05483,0.89253,0.78867,0.83333,0.50942,1.1531,0.84062,1.08705,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,50773.5,1.07163,0.63436,1.0543,0.89307,0.7892,0.83345,0.50984,1.15286,0.83955,1.08686,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,51473.9,1.07365,0.64166,1.05511,0.89519,0.78977,0.83394,0.50995,1.15285,0.83941,1.08682,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,52177.5,1.068,0.63527,1.05583,0.89348,0.79044,0.83447,0.50992,1.15287,0.83862,1.08665,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,52880.9,1.07062,0.63601,1.05665,0.89464,0.79107,0.83534,0.51019,1.15295,0.8379,1.08667,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,53583.9,1.06464,0.6362,1.05325,0.89618,0.79161,0.83565,0.51065,1.15247,0.83789,1.08646,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,54284.6,1.06275,0.62943,1.04823,0.89643,0.79204,0.83562,0.51094,1.1521,0.83815,1.08648,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,54992.3,1.05952,0.62657,1.05055,0.89679,0.79209,0.83587,0.51085,1.15199,0.83719,1.08643,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,55696.7,1.06666,0.62422,1.05265,0.89673,0.79215,0.83619,0.51064,1.15164,0.83675,1.08637,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,56402,1.05551,0.6195,1.04678,0.89555,0.79407,0.83672,0.51099,1.15156,0.83758,1.08641,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,57103.7,1.05905,0.62656,1.04468,0.89721,0.79405,0.83708,0.51147,1.15172,0.83846,1.08664,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,57808.7,1.05812,0.62046,1.04537,0.89857,0.79533,0.83715,0.51171,1.15187,0.83927,1.08684,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,58514.8,1.05342,0.62084,1.04143,0.89841,0.79521,0.83744,0.51162,1.15196,0.83899,1.08683,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,59216.1,1.05404,0.61396,1.04324,0.90013,0.79579,0.83828,0.51211,1.15176,0.83831,1.08637,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,59919.5,1.05402,0.62126,1.04221,0.89872,0.79604,0.83837,0.51189,1.15221,0.83907,1.08669,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,60627.9,1.04147,0.60947,1.03613,0.89827,0.79645,0.83806,0.51183,1.1518,0.83904,1.08657,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,61330.4,1.04564,0.61102,1.04001,0.89776,0.79718,0.83905,0.51192,1.15205,0.83943,1.08685,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,62035.7,1.04398,0.61093,1.03502,0.8971,0.79764,0.83847,0.51273,1.1517,0.84015,1.08681,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,62738.6,1.04586,0.60867,1.03595,0.89874,0.79782,0.83945,0.51303,1.15174,0.84054,1.08671,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,63443.9,1.03349,0.60024,1.03072,0.89938,0.79884,0.8399,0.51352,1.1523,0.8401,1.08679,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,64147.2,1.0354,0.59846,1.02957,0.89682,0.79843,0.83883,0.51336,1.15259,0.83975,1.08697,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,64854.9,1.03117,0.59459,1.03239,0.89682,0.79837,0.83896,0.51374,1.153,0.83978,1.087,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,65556.3,1.02741,0.59639,1.03078,0.89747,0.79856,0.83978,0.51424,1.15284,0.84013,1.08713,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,66261.8,1.0318,0.59914,1.0323,0.89837,0.79755,0.84003,0.51455,1.15296,0.83947,1.08713,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,66970,1.01956,0.58613,1.02502,0.89828,0.79841,0.84026,0.51498,1.15302,0.83931,1.08746,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,67674.9,1.02266,0.58654,1.02053,0.89749,0.79848,0.84049,0.51452,1.15333,0.83836,1.08741,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,68378.6,1.02018,0.58105,1.02395,0.89828,0.79957,0.8414,0.51482,1.15419,0.83683,1.08758,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,69081.3,1.01649,0.57503,1.02125,0.89878,0.79825,0.8412,0.51479,1.15461,0.8355,1.08758,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,69788,1.01193,0.58178,1.01711,0.90028,0.79828,0.84205,0.51521,1.15486,0.83484,1.0878,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,70494.8,1.00702,0.57882,1.01667,0.89982,0.79756,0.84186,0.51513,1.15511,0.83316,1.08773,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,71201.1,1.01089,0.57574,1.01853,0.90016,0.7975,0.84168,0.51519,1.15554,0.8316,1.08769,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,71900.5,1.01268,0.57646,1.02089,0.90209,0.79813,0.84218,0.5156,1.15597,0.83004,1.08785,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,72604.3,1.00859,0.57254,1.01535,0.90001,0.79919,0.84258,0.51608,1.15643,0.82944,1.08794,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,73307.8,1.00148,0.5654,1.01641,0.89826,0.79995,0.84211,0.51558,1.15638,0.82872,1.08803,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,74010.8,1.00288,0.56656,1.01595,0.89961,0.80008,0.84223,0.51633,1.15685,0.8286,1.08798,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,74716.7,1.00107,0.56465,1.01245,0.8984,0.80058,0.84193,0.51598,1.15684,0.82702,1.08783,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,75420.6,0.99847,0.565,1.01451,0.89851,0.7997,0.84137,0.51626,1.15689,0.82665,1.0874,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,76126,0.99595,0.56203,1.01198,0.89887,0.79989,0.84187,0.51656,1.15626,0.82532,1.08687,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,76832.5,0.98802,0.55249,1.00854,0.90132,0.80024,0.84252,0.51691,1.15599,0.82422,1.08658,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,77535.3,0.98829,0.55462,1.0074,0.90045,0.80134,0.84222,0.51661,1.15581,0.82325,1.08614,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,78243.7,0.98637,0.55383,1.00837,0.90252,0.80044,0.84153,0.51649,1.15596,0.82218,1.08579,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,78946.4,0.98486,0.54908,1.00564,0.90295,0.80106,0.84295,0.51688,1.15576,0.82164,1.08542,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,79651.4,0.98132,0.55045,1.00549,0.90348,0.80117,0.84324,0.51683,1.1558,0.82031,1.08513,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,80358,0.97553,0.54268,1.00613,0.9051,0.80052,0.84301,0.51727,1.15543,0.81971,1.08473,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,81064.7,0.97297,0.5427,1.00363,0.90435,0.80041,0.84316,0.51718,1.15573,0.81921,1.08489,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,81775.5,0.96393,0.53211,0.99854,0.90499,0.80049,0.84318,0.51711,1.15615,0.81837,1.08488,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,82483.5,0.96413,0.53331,0.99508,0.9049,0.80098,0.8444,0.51766,1.1563,0.81813,1.08472,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,83187.9,0.96422,0.5319,0.99983,0.9014,0.80337,0.8443,0.51802,1.15633,0.81739,1.08464,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,83892.4,0.96531,0.53021,0.99923,0.90296,0.80145,0.84409,0.51801,1.15635,0.81655,1.08443,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,84595.2,0.9573,0.52847,0.99321,0.90539,0.80139,0.84454,0.51859,1.15664,0.81595,1.08446,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,85301.9,0.94887,0.52454,0.99074,0.9064,0.80185,0.84466,0.51855,1.15719,0.8153,1.08444,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,86007.7,0.94911,0.52196,0.9895,0.90541,0.80291,0.84522,0.51861,1.15752,0.81448,1.08432,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,86714.5,0.94981,0.51853,0.99032,0.90792,0.80261,0.84555,0.5186,1.15785,0.81316,1.08424,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,87422.7,0.94431,0.51795,0.98816,0.90854,0.80255,0.84642,0.51912,1.15799,0.81285,1.08413,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,88132,0.94244,0.51303,0.98957,0.90599,0.80453,0.84606,0.51922,1.15833,0.8125,1.08424,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,88840.3,0.94642,0.51107,0.99142,0.90633,0.80332,0.84619,0.51981,1.15843,0.81177,1.08416,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,89543.2,0.93585,0.50462,0.98292,0.90651,0.80335,0.84674,0.51928,1.1586,0.81108,1.0841,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,90247.8,0.93214,0.50853,0.98543,0.9068,0.80269,0.84674,0.52001,1.15912,0.81,1.08423,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,90953.6,0.92543,0.50299,0.98109,0.90811,0.8025,0.84699,0.51995,1.15958,0.80884,1.08423,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,91658.2,0.92928,0.50281,0.98155,0.90638,0.80478,0.84742,0.52003,1.16012,0.808,1.08438,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,92362.1,0.9287,0.50072,0.98234,0.90975,0.80307,0.8479,0.51994,1.16084,0.80708,1.08456,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,93066.4,0.91874,0.49611,0.97885,0.91153,0.8021,0.84784,0.51989,1.16087,0.8059,1.08456,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,93771.7,0.91954,0.4959,0.98003,0.90767,0.8025,0.84627,0.5198,1.1613,0.80536,1.08463,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,94475.9,0.91276,0.49723,0.97806,0.90748,0.80321,0.84646,0.51992,1.16178,0.80426,1.08478,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,95177.4,0.90484,0.48713,0.97522,0.90642,0.80372,0.84671,0.52027,1.16196,0.80287,1.08472,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,95883.8,0.91602,0.49459,0.9755,0.90734,0.80323,0.8471,0.52042,1.16224,0.80253,1.08483,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,96590.4,0.90162,0.4861,0.97364,0.90603,0.80447,0.84728,0.52032,1.16254,0.80089,1.08498,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,97296.2,0.89742,0.48227,0.97274,0.90738,0.80264,0.84664,0.52013,1.1629,0.8009,1.08518,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
